,backbone,case,accuracy,inference_time
0,resnet18,1,0.99081944916695,0.0049595314523448114
1,resnet34,1,0.9942196531791907,0.009821282780688742
2,resnet50,1,0.9911594695681741,0.01127401123876157
3,resnet18,2,0.9935396123767426,0.0026199299356211786
4,resnet34,2,0.9880992859571575,0.004167688929516336
5,resnet50,2,0.9901394083645019,0.005798972171285878
6,resnet18,3,0.9938796327779666,0.0024339893589849057
7,resnet34,3,0.9921795307718463,0.004623436409494151
8,resnet50,3,0.9931995919755185,0.005696763163027556
9,resnet18,4_1,0.9884393063583815,0.0047086347704348355
10,resnet34,4_1,0.9918395103706222,0.008280899213707966
11,resnet50,4_1,0.9918395103706222,0.013563845468604046
12,resnet18,4_2,0.99081944916695,0.004738986492156982
13,resnet34,4_2,0.9877592655559334,0.008484091447747272
14,resnet50,4_2,0.9894593675620538,0.01166460825049359
