,backbone,case,accuracy,inference_time
0,resnet18,1,0.9908575031525851,0.005272750854492188
1,resnet34,1,0.9959016393442623,0.008936421871185303
2,resnet50,1,0.9943253467843631,0.012169497013092041
3,resnet18,2,0.9908575031525851,0.003449852466583252
4,resnet34,2,0.9930643127364439,0.004477314949035645
5,resnet50,2,0.9924337957124842,0.006056830883026123
6,resnet18,3,0.9940100882723834,0.002619771957397461
7,resnet34,3,0.9949558638083228,0.00480212926864624
8,resnet50,3,0.9899117276166457,0.0073756051063537595
9,resnet18,4_1,0.9924337957124842,0.005329279899597168
10,resnet34,4_1,0.9936948297604036,0.008833158016204833
11,resnet50,4_1,0.9905422446406053,0.011397769451141357
12,resnet18,4_2,0.992749054224464,0.00510504961013794
13,resnet34,4_2,0.9883354350567465,0.009233522415161132
14,resnet50,4_2,0.9886506935687264,0.01693567752838135
