,backbone,case,accuracy,inference_time
0,resnet18,1,0.994280266920877,0.004741437507398201
1,resnet34,1,0.9958690816650778,0.008253933203340781
2,resnet50,1,0.996186844613918,0.011401988039113055
3,resnet18,2,0.9939625039720369,0.0024690700299812088
4,resnet34,2,0.9949157928185574,0.004268034540041528
5,resnet50,2,0.9939625039720369,0.005453562495684383
6,resnet18,3,0.9965046075627582,0.0024690483555649266
7,resnet34,3,0.9958690816650778,0.004139038047405204
8,resnet50,3,0.9957102001906578,0.005534369536120482
9,resnet18,4_1,0.996345726088338,0.004770999002938319
10,resnet34,4_1,0.9990467111534795,0.008164675548823193
11,resnet50,4_1,0.9974578964092787,0.011122657795145053
12,resnet18,4_2,0.9969812519860184,0.005976672124381017
13,resnet34,4_2,0.9966634890371783,0.008909569846259223
14,resnet50,4_2,0.9950746742929775,0.011504122705170603
