,backbone,case,accuracy,inference_time
0,resnet18,1,0.9983176312247645,0.00477185300601426
1,resnet34,1,0.9983176312247645,0.008406680117371262
2,resnet50,1,0.9976446837146703,0.011895805276850219
3,resnet18,2,0.9959623149394348,0.0031506553772957095
4,resnet34,2,0.996971736204576,0.004227948445145802
5,resnet50,2,0.9976446837146703,0.006893350232032037
6,resnet18,3,0.9979811574697174,0.002458626224148658
7,resnet34,3,0.9993270524899058,0.005125827686761016
8,resnet50,3,0.9976446837146703,0.00731216194809124
9,resnet18,4_1,0.9979811574697174,0.004742840284942299
10,resnet34,4_1,0.9986541049798116,0.008220062460950625
11,resnet50,4_1,0.996971736204576,0.01113973125334709
12,resnet18,4_2,0.9979811574697174,0.006373864348216724
13,resnet34,4_2,0.9979811574697174,0.009675756577522523
14,resnet50,4_2,0.9996635262449529,0.010901717729465936
