,backbone,case,accuracy,inference_time
0,resnet18,1,0.9404964297857872,0.00576403866643491
1,resnet34,1,0.8973138388303298,0.008223720218824304
2,resnet50,1,0.9177150629037742,0.011125805585280708
3,resnet18,2,0.8228493709622577,0.0024463041968967605
4,resnet34,2,0.8673920435226113,0.004260615162227465
5,resnet50,2,0.9357361441686501,0.006333799465842869
6,resnet18,3,0.9180550833049983,0.002502306647922682
7,resnet34,3,0.865691941516491,0.004235228766565738
8,resnet50,3,0.8969738184291057,0.006792501262996508
9,resnet18,4_1,0.9126147568854132,0.006943078144736912
10,resnet34,4_1,0.9323359401564094,0.008472878000010614
11,resnet50,4_1,0.9092145528731724,0.011411415494006613
12,resnet18,4_2,0.8959537572254336,0.004795336205026378
13,resnet34,4_2,0.8728323699421965,0.008494719215061354
14,resnet50,4_2,0.8741924515470928,0.010871195274850597
