,backbone,case,accuracy,inference_time
0,resnet18,1,0.9547772866371982,0.006213203720424486
1,resnet34,1,0.9581774906494389,0.008399929689324421
2,resnet50,1,0.9639578374702482,0.01096852965976881
3,resnet18,2,0.9391363481808909,0.0023743950802346935
4,resnet34,2,0.9659979598775926,0.004229820292928945
5,resnet50,2,0.949336960217613,0.0054747151291888695
6,resnet18,3,0.9500170010200613,0.00252905099288277
7,resnet34,3,0.944576674600476,0.004271947819253673
8,resnet50,3,0.9411764705882353,0.005569693834885307
9,resnet18,4_1,0.9588575314518871,0.004839505838311236
10,resnet34,4_1,0.9455967358041483,0.008383629114731499
11,resnet50,4_1,0.9663379802788167,0.01376007432522981
12,resnet18,4_2,0.9418565113906835,0.004784879477127739
13,resnet34,4_2,0.9177150629037742,0.0082657674084539
14,resnet50,4_2,0.9296157769466168,0.012352059716763704
