,backbone,case,accuracy,inference_time
0,resnet18,1,0.9517171030261816,0.006028408589570418
1,resnet34,1,0.9666780006800408,0.008271950742472773
2,resnet50,1,0.9608976538592315,0.010941878609035326
3,resnet18,2,0.953417205032302,0.0024171834406645403
4,resnet34,2,0.930635838150289,0.004150976305422576
5,resnet50,2,0.9619177150629038,0.005421107229979142
6,resnet18,3,0.9381162869772186,0.0024708924086197562
7,resnet34,3,0.9149948996939816,0.004875387834466022
8,resnet50,3,0.9377762665759946,0.006403441014497176
9,resnet18,4_1,0.9670180210812649,0.004854629869046418
10,resnet34,4_1,0.9469568174090446,0.008143720419510551
11,resnet50,4_1,0.925875552533152,0.013492921124333921
12,resnet18,4_2,0.9126147568854132,0.005649939827297045
13,resnet34,4_2,0.9343760625637538,0.008333615634752356
14,resnet50,4_2,0.9200952057123427,0.012240062589230745
