,backbone,case,accuracy,inference_time
0,resnet18,1,0.9670180210812649,0.005981613760409148
1,resnet34,1,0.9792587555253315,0.008188203625057055
2,resnet50,1,0.9850391023461408,0.011257640693498694
3,resnet18,2,0.9758585515130908,0.0028498872466709304
4,resnet34,2,0.9789187351241074,0.004191157610520073
5,resnet50,2,0.9772186331179871,0.005404915498650592
6,resnet18,3,0.9741584495069704,0.0024544622587121053
7,resnet34,3,0.976878612716763,0.0057927395986474076
8,resnet50,3,0.9710982658959537,0.00704056283702021
9,resnet18,4_1,0.9738184291057463,0.0049243595289147415
10,resnet34,4_1,0.9741584495069704,0.008773059948630955
11,resnet50,4_1,0.9778986739204353,0.011145780915799349
12,resnet18,4_2,0.9578374702482149,0.006218467069708783
13,resnet34,4_2,0.9734784087045223,0.0082149687020675
14,resnet50,4_2,0.9687181230873853,0.012378640796827234
