,backbone,case,accuracy,inference_time
0,resnet18,1,0.9551173070384223,0.005881283594214398
1,resnet34,1,0.9666780006800408,0.008297746596129044
2,resnet50,1,0.9697381842910575,0.01447742399962052
3,resnet18,2,0.9670180210812649,0.002421438694000244
4,resnet34,2,0.9639578374702482,0.004237975763237994
5,resnet50,2,0.9666780006800408,0.0056435517642809
6,resnet18,3,0.9527371642298538,0.0024671580480492635
7,resnet34,3,0.9619177150629038,0.0042171918827554455
8,resnet50,3,0.9574974498469908,0.005681097507476807
9,resnet18,4_1,0.9605576334580075,0.004836486733478048
10,resnet34,4_1,0.9595375722543352,0.012945413589477539
11,resnet50,4_1,0.9506970418225094,0.011104679625967274
12,resnet18,4_2,0.9438966337980279,0.004835996938788373
13,resnet34,4_2,0.9391363481808909,0.008915276631065037
14,resnet50,4_2,0.949336960217613,0.013498187065124512
