,backbone,case,accuracy,inference_time
0,resnet18,1,0.9187351241074464,0.004928485206935717
1,resnet34,1,0.9598775926555594,0.008206782133682915
2,resnet50,1,0.939816388983339,0.011141429776730745
3,resnet18,2,0.8894933696021762,0.00244410400805266
4,resnet34,2,0.9496769806188371,0.0041656494140625
5,resnet50,2,0.9367562053723223,0.005696270776831586
6,resnet18,3,0.9357361441686501,0.0025499903637429943
7,resnet34,3,0.9190751445086706,0.004234741563382356
8,resnet50,3,0.9207752465147909,0.005519353825113048
9,resnet18,4_1,0.8905134308058483,0.006902966810309369
10,resnet34,4_1,0.9666780006800408,0.013001024723052979
11,resnet50,4_1,0.9319959197551854,0.01542775008989417
12,resnet18,4_2,0.9251955117307038,0.004954760489256486
13,resnet34,4_2,0.9357361441686501,0.008289829544399096
14,resnet50,4_2,0.8945936756205373,0.013811570146809454
