,backbone,case,accuracy,inference_time
0,resnet18,1,0.9636178170690242,0.0048110796057659645
1,resnet34,1,0.9748384903094186,0.008846124877100405
2,resnet50,1,0.9653179190751445,0.011185905207758364
3,resnet18,2,0.967698061883713,0.00240561754807182
4,resnet34,2,0.9707582454947297,0.004200471484142801
5,resnet50,2,0.9806188371302278,0.005505569603132165
6,resnet18,3,0.9598775926555594,0.0024691923804905105
7,resnet34,3,0.9758585515130908,0.004255123760389245
8,resnet50,3,0.9755185311118667,0.005559960137242856
9,resnet18,4_1,0.976538592315539,0.004935290502465289
10,resnet34,4_1,0.976878612716763,0.00843467660572218
11,resnet50,4_1,0.9761985719143148,0.011451923328897228
12,resnet18,4_2,0.9554573274396464,0.007129837637362273
13,resnet34,4_2,0.9639578374702482,0.008405465146769648
14,resnet50,4_2,0.9734784087045223,0.011067374892856764
