,backbone,case,accuracy,inference_time
0,resnet18,1,0.9857191431485889,0.00654598681823067
1,resnet34,1,0.9809588575314518,0.010239033595375393
2,resnet50,1,0.9853791227473648,0.011265511098115341
3,resnet18,2,0.9829989799387964,0.0024307784826859183
4,resnet34,2,0.9874192451547092,0.005125084648961606
5,resnet50,2,0.9829989799387964,0.005518900311511496
6,resnet18,3,0.9843590615436926,0.002623617649078369
7,resnet34,3,0.9789187351241074,0.0043702332869819975
8,resnet50,3,0.976538592315539,0.005615226600481116
9,resnet18,4_1,0.9816388983339001,0.00490839844164641
10,resnet34,4_1,0.9799387963277797,0.008552108121954876
11,resnet50,4_1,0.9829989799387964,0.011053790216860563
12,resnet18,4_2,0.9693981638898334,0.004710122295047926
13,resnet34,4_2,0.9772186331179871,0.008794095205224079
14,resnet50,4_2,0.9823189391363482,0.011276079260784647
