,backbone,case,accuracy,inference_time
0,resnet18,1,0.9744984699081944,0.005767309147378673
1,resnet34,1,0.976878612716763,0.00827097633610601
2,resnet50,1,0.976878612716763,0.011453527471293573
3,resnet18,2,0.9612376742604556,0.0024577897527943487
4,resnet34,2,0.9687181230873853,0.004230175329291303
5,resnet50,2,0.9568174090445427,0.007675647735595703
6,resnet18,3,0.9663379802788167,0.0032381415367126465
7,resnet34,3,0.9714382862971779,0.004233593526093856
8,resnet50,3,0.9646378782726963,0.008317151795262876
9,resnet18,4_1,0.9551173070384223,0.005971413591633673
10,resnet34,4_1,0.976878612716763,0.008378477200217869
11,resnet50,4_1,0.9659979598775926,0.011107478452765423
12,resnet18,4_2,0.9513770826249575,0.005172669887542725
13,resnet34,4_2,0.9690581434886093,0.009905325329822042
14,resnet50,4_2,0.949336960217613,0.011083330797112507
