,backbone,case,accuracy,inference_time
0,resnet18,1,0.81468888133288,0.007934285246807596
1,resnet34,1,0.8167290037402244,0.0084601614786231
2,resnet50,1,0.8806528391703502,0.010915942814039148
3,resnet18,2,0.8201292077524651,0.0024957397709722104
4,resnet34,2,0.7786467188031282,0.004177477048790973
5,resnet50,2,0.7912274736484189,0.005506245986275051
6,resnet18,3,0.7327439646378783,0.002491344576296599
7,resnet34,3,0.8031281876912615,0.00537918702415798
8,resnet50,3,0.8395103706222373,0.007448885751807172
9,resnet18,4_1,0.7922475348520911,0.004799855792004129
10,resnet34,4_1,0.7262835770146209,0.010300545588783596
11,resnet50,4_1,0.8170690241414484,0.011004183603369671
12,resnet18,4_2,0.7966678000680041,0.004812577496404233
13,resnet34,4_2,0.7779666780006801,0.008395550043686577
14,resnet50,4_2,0.7844270656239375,0.013216008310732634
