,backbone,case,accuracy,inference_time
0,resnet18,1,0.9047942876572594,0.004790505637293277
1,resnet34,1,0.9207752465147909,0.008183533730714218
2,resnet50,1,0.9265555933356001,0.011131672755531643
3,resnet18,2,0.9282556953417205,0.0024072320564933443
4,resnet34,2,0.9360761645698742,0.004252203132795251
5,resnet50,2,0.9275756545392724,0.005568426588307257
6,resnet18,3,0.8782726963617817,0.0025340707405753756
7,resnet34,3,0.9595375722543352,0.004290376020514447
8,resnet50,3,0.9272356341380483,0.0056133270263671875
9,resnet18,4_1,0.898333900034002,0.005906506724979567
10,resnet34,4_1,0.9605576334580075,0.008312842120294985
11,resnet50,4_1,0.925875552533152,0.01394848460736482
12,resnet18,4_2,0.8714722883373003,0.0047255417575006895
13,resnet34,4_2,0.8330499829989799,0.008411067983378534
14,resnet50,4_2,0.8677320639238354,0.01441097000370855
