gender,img_id,path,value
female,0,resized/20220901_155909_14f7f2cd433b418dbbde45bd606ee0a7.png,1.0
female,1,resized/20220901_155920_aa6c4df58d98487eb1ca4a8fc3701057.png,1.0
female,2,resized/20220901_155924_97926b16cdcd4474bf1b965328c05cee.png,1.0
female,3,resized/20220901_155931_b9b84df7427d475b96f86b0da8027752.png,1.0
female,4,resized/20220901_155949_0b531f767acd4d5791cfe3ceb796f4df.png,0.0
female,5,resized/20220901_155956_c8792110c6d74286a21200c3aa2287e2.png,1.0
female,6,resized/20220901_160000_4001171b6de74c8a844a24ba3d2da636.png,1.0
female,7,resized/20220901_160008_049fed0327404ba09e7bde9c15653bdd.png,1.0
female,8,resized/20220901_160011_d234954538754f848550add0214e7c4f.png,1.0
female,9,resized/20220901_160022_25c13ceee53c49c0a63091ff879ec399.png,1.0
female,10,resized/20220901_160026_0f9c32cd5b9844ad951f7a3cb4cf48e5.png,1.0
female,11,resized/20220901_160034_fd228aedeea94dde8bc9b38fc636af36.png,1.0
female,12,resized/20220901_160044_6554511692c8441b8f198489d7cae550.png,1.0
female,13,resized/20220901_160052_a5e0881e4fe3400f97cf13684e788d23.png,1.0
female,14,resized/20220901_160055_fccab4483ba64e3e88ece6fdb19a01e5.png,0.5
female,15,resized/20220901_160058_11f72457420a44439c5d05179e0a658d.png,1.0
female,16,resized/20220901_160106_56cba7785a3a4d60b2f4a4cf5973b792.png,1.0
female,17,resized/20220901_160130_05e83b8522164ce88fc672d28f06c0ed.png,1.0
female,18,resized/20220901_160135_5f71a5e1e42742a3b64c88e8de25f99b.png,1.0
female,19,resized/20220901_160139_cba59acf7b1946f8b2a2c4d450295395.png,1.0
female,20,resized/20220901_160142_98aed2fd7fbb4180813a5228cfa07b8f.png,1.0
female,21,resized/20220901_160149_a75bd3f871f848429d0a35d0430d4b2b.png,0.5
female,22,resized/20220901_160153_348ab5bc999b43699c31e3b563b6d771.png,1.0
female,23,resized/20220901_160156_285a76e536b84d2baf0b7014efd00aa5.png,1.0
female,24,resized/20220901_160204_d3581bcd93f14f1f991aa0c8198c7fa9.png,1.0
female,25,resized/20220901_160211_850dd8e1ea3a49be80f60e7cad5f0cf9.png,1.0
female,26,resized/20220901_160215_a752a40b25f64fe2bcc5a7c9d509cb75.png,0.5
female,27,resized/20220901_160218_e1b89576e9204eb48a87405000f74cca.png,1.0
female,28,resized/20220901_160222_c2c23fac28054a039bb4581e71b1ed85.png,1.0
