image_path,background
final/augmented_10k-images_0.jpg,0.5021908
final/augmented_10k-images_1.jpg,0.5021908
final/augmented_10k-images_1019.jpg,0.5021908
final/augmented_10k-images_102.jpg,0.5021908
final/augmented_10k-images_1020.jpg,0.5021908
final/augmented_10k-images_1026.jpg,0.5021908
final/augmented_10k-images_103.jpg,0.5021908
final/augmented_10k-images_1031.jpg,0.5021908
final/augmented_10k-images_1033.jpg,0.5021908
final/augmented_10k-images_1034.jpg,0.5021908
final/augmented_10k-images_104.jpg,0.5021908
final/augmented_10k-images_1044.jpg,0.5021908
final/augmented_10k-images_1046.jpg,0.5021908
final/augmented_10k-images_1047.jpg,0.5021908
final/augmented_10k-images_105.jpg,0.5021908
final/augmented_10k-images_1052.jpg,0.5021908
final/augmented_10k-images_1054.jpg,0.5021908
final/augmented_10k-images_1056.jpg,0.5021908
final/augmented_10k-images_1058.jpg,0.5021908
final/augmented_10k-images_106.jpg,0.5021908
final/augmented_10k-images_1061.jpg,0.5021908
final/augmented_10k-images_1062.jpg,0.5021908
final/augmented_10k-images_1064.jpg,0.5021908
final/augmented_10k-images_1071.jpg,0.5021908
final/augmented_10k-images_1072.jpg,0.5021908
final/augmented_10k-images_1074.jpg,0.5021908
final/augmented_10k-images_1076.jpg,0.5021908
final/augmented_10k-images_1080.jpg,0.5021908
final/augmented_10k-images_1081.jpg,0.5021908
final/augmented_10k-images_1084.jpg,0.5021908
final/augmented_10k-images_1086.jpg,0.5021908
final/augmented_10k-images_1089.jpg,0.5021908
final/augmented_10k-images_1091.jpg,0.5021908
final/augmented_10k-images_1095.jpg,0.5021908
final/augmented_10k-images_1096.jpg,0.5021908
final/augmented_10k-images_1097.jpg,0.5021908
final/augmented_10k-images_1098.jpg,0.5021908
final/augmented_10k-images_1099.jpg,0.5021908
final/augmented_10k-images_1100.jpg,0.5021908
final/augmented_10k-images_1102.jpg,0.5021908
final/augmented_10k-images_1105.jpg,0.5021908
final/augmented_10k-images_1109.jpg,0.5021908
final/augmented_10k-images_1112.jpg,0.5021908
final/augmented_10k-images_1114.jpg,0.5021908
final/augmented_10k-images_1118.jpg,0.5021908
final/augmented_10k-images_1119.jpg,0.5021908
final/augmented_10k-images_112.jpg,0.5021908
final/augmented_10k-images_1121.jpg,0.5021908
final/augmented_10k-images_1124.jpg,0.5021908
final/augmented_10k-images_1126.jpg,0.5021908
final/augmented_10k-images_1130.jpg,0.5021908
final/augmented_10k-images_1133.jpg,0.5021908
final/augmented_10k-images_1143.jpg,0.5021908
final/augmented_10k-images_1144.jpg,0.5021908
