image_path,hair_color
final/augmented_10k-images_0.jpg,0.9778986
final/augmented_10k-images_1.jpg,0.8012466
final/augmented_10k-images_1019.jpg,0.49548075
final/augmented_10k-images_102.jpg,0.94561785
final/augmented_10k-images_1020.jpg,0.6727624
final/augmented_10k-images_1026.jpg,0.5272128
final/augmented_10k-images_103.jpg,0.98646486
final/augmented_10k-images_1031.jpg,0.5264258
final/augmented_10k-images_1033.jpg,0.99797994
final/augmented_10k-images_1034.jpg,0.84988594
final/augmented_10k-images_104.jpg,0.49833223
final/augmented_10k-images_1044.jpg,0.6554671
final/augmented_10k-images_1046.jpg,0.82303953
final/augmented_10k-images_1047.jpg,0.49681836
final/augmented_10k-images_105.jpg,0.63234574
final/augmented_10k-images_1052.jpg,0.96289593
final/augmented_10k-images_1054.jpg,0.99397284
final/augmented_10k-images_1056.jpg,0.8689348
final/augmented_10k-images_1058.jpg,0.99704164
final/augmented_10k-images_106.jpg,0.49535832
final/augmented_10k-images_1061.jpg,0.9184898
final/augmented_10k-images_1062.jpg,0.96289825
final/augmented_10k-images_1064.jpg,0.50000626
final/augmented_10k-images_1071.jpg,0.99529654
final/augmented_10k-images_1072.jpg,0.5216949
final/augmented_10k-images_1074.jpg,0.5622965
final/augmented_10k-images_1076.jpg,0.96399254
final/augmented_10k-images_1080.jpg,0.9148814
final/augmented_10k-images_1081.jpg,0.4950931
final/augmented_10k-images_1084.jpg,0.5577484
final/augmented_10k-images_1086.jpg,0.9993892
final/augmented_10k-images_1089.jpg,0.4953331
final/augmented_10k-images_1091.jpg,0.9860978
final/augmented_10k-images_1095.jpg,0.9762151
final/augmented_10k-images_1096.jpg,0.73226935
final/augmented_10k-images_1097.jpg,0.66670877
final/augmented_10k-images_1098.jpg,0.6679748
final/augmented_10k-images_1099.jpg,0.983787
final/augmented_10k-images_1100.jpg,0.6479659
final/augmented_10k-images_1102.jpg,0.8244318
final/augmented_10k-images_1105.jpg,0.496113
final/augmented_10k-images_1109.jpg,0.9997714
final/augmented_10k-images_1112.jpg,0.9971209
final/augmented_10k-images_1114.jpg,0.57383084
final/augmented_10k-images_1118.jpg,0.9452962
final/augmented_10k-images_1119.jpg,0.56440735
final/augmented_10k-images_112.jpg,0.59731495
final/augmented_10k-images_1121.jpg,0.99527353
final/augmented_10k-images_1124.jpg,0.5239102
final/augmented_10k-images_1126.jpg,0.8441194
final/augmented_10k-images_1130.jpg,0.92260635
final/augmented_10k-images_1133.jpg,0.52674043
final/augmented_10k-images_1143.jpg,0.5013054
final/augmented_10k-images_1144.jpg,0.94537926
final/augmented_10k-images_1146.jpg,0.55247885
final/augmented_10k-images_1151.jpg,0.98767275
final/augmented_10k-images_1152.jpg,0.60868484
final/augmented_10k-images_1153.jpg,0.99118173
final/augmented_10k-images_1155.jpg,0.9413732
final/augmented_10k-images_1157.jpg,0.7638082
final/augmented_10k-images_1159.jpg,0.601707
final/augmented_10k-images_116.jpg,0.9968635
final/augmented_10k-images_1162.jpg,0.92686117
final/augmented_10k-images_1165.jpg,0.98587924
final/augmented_10k-images_1166.jpg,0.99255204
