image_paths,background,eyes,hair_color,head,mouth
dataset/final/augmented_10k-images_0.jpg,0.5043801,0.49159175,0.98084956,0.49447453,0.93209356
dataset/final/augmented_10k-images_1.jpg,0.49893987,0.51845783,0.8167658,0.49819076,0.8595049
dataset/final/augmented_10k-images_1019.jpg,0.4844075,0.9999902,0.47504258,0.50043166,0.74891615
dataset/final/augmented_10k-images_102.jpg,0.50378126,1.0,0.9483059,0.49816528,0.64067453
dataset/final/augmented_10k-images_1020.jpg,0.6977972,0.9996772,0.6616076,0.49684113,0.9890314
dataset/final/augmented_10k-images_1026.jpg,0.18100807,0.7686817,0.4850674,0.49020526,0.8433774
dataset/final/augmented_10k-images_103.jpg,0.33234048,0.980049,0.96986467,0.5009775,0.9760991
dataset/final/augmented_10k-images_1031.jpg,0.5680289,0.57519054,0.5192119,0.5067055,0.97593486
dataset/final/augmented_10k-images_1033.jpg,0.43414614,1.0,0.99837565,0.49733776,0.33214077
dataset/final/augmented_10k-images_1034.jpg,0.17314117,0.9999807,0.8458383,0.4947147,0.9925438
dataset/final/augmented_10k-images_104.jpg,0.6801802,0.99874437,0.47944623,0.49939427,0.5049313
dataset/final/augmented_10k-images_1044.jpg,0.55493826,0.8064011,0.53061724,0.498957,0.016387977
dataset/final/augmented_10k-images_1046.jpg,0.9739372,0.99703336,0.8671031,0.49542058,0.8606494
dataset/final/augmented_10k-images_1047.jpg,0.64311147,0.99999714,0.47674194,0.5025389,0.04217751
dataset/final/augmented_10k-images_105.jpg,0.46674022,0.9990283,0.577859,0.497386,0.012984953
dataset/final/augmented_10k-images_1052.jpg,0.4815755,0.97555035,0.9405675,0.51886344,0.83662665
dataset/final/augmented_10k-images_1054.jpg,0.49557993,0.9999975,0.99518603,0.49730533,0.011689307
dataset/final/augmented_10k-images_1056.jpg,0.4828933,0.947605,0.867039,0.49790683,0.9792235
dataset/final/augmented_10k-images_1058.jpg,0.54563725,0.99945384,0.9971554,0.49960163,0.0130438395
dataset/final/augmented_10k-images_106.jpg,0.4931419,0.9944982,0.4744566,0.49520487,0.97581154
dataset/final/augmented_10k-images_1061.jpg,0.50265676,0.9975083,0.87864184,0.28321138,0.008115856
dataset/final/augmented_10k-images_1062.jpg,0.72535324,0.6707059,0.96451116,0.5014467,0.9651182
dataset/final/augmented_10k-images_1064.jpg,0.4903649,0.99888986,0.48143554,0.48745596,0.9110004
dataset/final/augmented_10k-images_1071.jpg,0.49442434,0.9999989,0.98859954,0.50066245,0.019934913
dataset/final/augmented_10k-images_1072.jpg,0.7326506,0.83107847,0.5107376,0.49537447,0.9756162
dataset/final/augmented_10k-images_1074.jpg,0.19201934,0.49214277,0.5106252,0.49702978,0.9804884
dataset/final/augmented_10k-images_1076.jpg,0.8709444,0.99497664,0.9734176,0.49963585,0.98993695
dataset/final/augmented_10k-images_1080.jpg,0.4900055,0.49441996,0.90153265,0.9735265,0.985811
