image_path,eyes
dataset/final/augmented_10k-images_0.jpg,0.49159175
dataset/final/augmented_10k-images_1.jpg,0.51845783
dataset/final/augmented_10k-images_1019.jpg,0.9999902
dataset/final/augmented_10k-images_102.jpg,1.0
dataset/final/augmented_10k-images_1020.jpg,0.9996772
dataset/final/augmented_10k-images_1026.jpg,0.7686817
dataset/final/augmented_10k-images_103.jpg,0.980049
dataset/final/augmented_10k-images_1031.jpg,0.57519054
dataset/final/augmented_10k-images_1033.jpg,1.0
dataset/final/augmented_10k-images_1034.jpg,0.9999807
dataset/final/augmented_10k-images_104.jpg,0.99874437
dataset/final/augmented_10k-images_1044.jpg,0.8064011
dataset/final/augmented_10k-images_1046.jpg,0.99703336
dataset/final/augmented_10k-images_1047.jpg,0.99999714
dataset/final/augmented_10k-images_105.jpg,0.9990283
dataset/final/augmented_10k-images_1052.jpg,0.97555035
dataset/final/augmented_10k-images_1054.jpg,0.9999975
dataset/final/augmented_10k-images_1056.jpg,0.947605
dataset/final/augmented_10k-images_1058.jpg,0.99945384
dataset/final/augmented_10k-images_106.jpg,0.9944982
dataset/final/augmented_10k-images_1061.jpg,0.9975083
dataset/final/augmented_10k-images_1062.jpg,0.6707059
dataset/final/augmented_10k-images_1064.jpg,0.99888986
dataset/final/augmented_10k-images_1071.jpg,0.9999989
dataset/final/augmented_10k-images_1072.jpg,0.83107847
dataset/final/augmented_10k-images_1074.jpg,0.49214277
dataset/final/augmented_10k-images_1076.jpg,0.99497664
dataset/final/augmented_10k-images_1080.jpg,0.49441996
dataset/final/augmented_10k-images_1081.jpg,0.9290155
dataset/final/augmented_10k-images_1084.jpg,0.93839234
dataset/final/augmented_10k-images_1086.jpg,0.90039325
dataset/final/augmented_10k-images_1089.jpg,0.9999995
dataset/final/augmented_10k-images_1091.jpg,0.966515
dataset/final/augmented_10k-images_1095.jpg,0.9999999
dataset/final/augmented_10k-images_1096.jpg,0.9863685
dataset/final/augmented_10k-images_1097.jpg,0.9999962
dataset/final/augmented_10k-images_1098.jpg,0.99507385
dataset/final/augmented_10k-images_1099.jpg,0.83857065
dataset/final/augmented_10k-images_1100.jpg,0.995404
dataset/final/augmented_10k-images_1102.jpg,0.9999769
dataset/final/augmented_10k-images_1105.jpg,0.8394717
dataset/final/augmented_10k-images_1109.jpg,0.9999981
dataset/final/augmented_10k-images_1112.jpg,0.9995957
dataset/final/augmented_10k-images_1114.jpg,0.9999713
dataset/final/augmented_10k-images_1118.jpg,0.88191503
dataset/final/augmented_10k-images_1119.jpg,0.99996567
