image_path,head
dataset/final/augmented_10k-images_0.jpg,0.49447453
dataset/final/augmented_10k-images_1.jpg,0.49819076
dataset/final/augmented_10k-images_1019.jpg,0.50043166
dataset/final/augmented_10k-images_102.jpg,0.49816528
dataset/final/augmented_10k-images_1020.jpg,0.49684113
dataset/final/augmented_10k-images_1026.jpg,0.49020526
dataset/final/augmented_10k-images_103.jpg,0.5009775
dataset/final/augmented_10k-images_1031.jpg,0.5067055
dataset/final/augmented_10k-images_1033.jpg,0.49733776
dataset/final/augmented_10k-images_1034.jpg,0.4947147
dataset/final/augmented_10k-images_104.jpg,0.49939427
dataset/final/augmented_10k-images_1044.jpg,0.498957
dataset/final/augmented_10k-images_1046.jpg,0.49542058
dataset/final/augmented_10k-images_1047.jpg,0.5025389
dataset/final/augmented_10k-images_105.jpg,0.497386
dataset/final/augmented_10k-images_1052.jpg,0.51886344
dataset/final/augmented_10k-images_1054.jpg,0.49730533
dataset/final/augmented_10k-images_1056.jpg,0.49790683
dataset/final/augmented_10k-images_1058.jpg,0.49960163
dataset/final/augmented_10k-images_106.jpg,0.49520487
dataset/final/augmented_10k-images_1061.jpg,0.28321138
dataset/final/augmented_10k-images_1062.jpg,0.5014467
dataset/final/augmented_10k-images_1064.jpg,0.48745596
dataset/final/augmented_10k-images_1071.jpg,0.50066245
dataset/final/augmented_10k-images_1072.jpg,0.49537447
dataset/final/augmented_10k-images_1074.jpg,0.49702978
dataset/final/augmented_10k-images_1076.jpg,0.49963585
dataset/final/augmented_10k-images_1080.jpg,0.9735265
dataset/final/augmented_10k-images_1081.jpg,0.51977485
dataset/final/augmented_10k-images_1084.jpg,0.4998371
dataset/final/augmented_10k-images_1086.jpg,0.4291199
dataset/final/augmented_10k-images_1089.jpg,0.49930644
dataset/final/augmented_10k-images_1091.jpg,0.09272686
dataset/final/augmented_10k-images_1095.jpg,0.71003145
dataset/final/augmented_10k-images_1096.jpg,0.49917808
dataset/final/augmented_10k-images_1097.jpg,0.49764827
dataset/final/augmented_10k-images_1098.jpg,0.49756137
