,image_path,male_prob,female_prob,hair_color,mouth,eyes,background_mean,background_std
0,resized_images/first_dataset/0.jpg,2.716607e-08,1.0,0.9774194955825806,0.9782280325889587,0.5707044005393982,0.5303269028663635,0.7668418884277344
0,resized_images/first_dataset/1.jpg,6.1621006e-09,1.0,0.7472274899482727,0.9572879672050476,0.6129580736160278,0.5156012773513794,0.46239709854125977
0,resized_images/first_dataset/10.jpg,0.9806019,0.01939809,0.9977061152458191,0.035282496362924576,0.9981821179389954,0.5116519331932068,0.3077741861343384
0,resized_images/first_dataset/100.jpg,0.9999988,1.1373606e-06,0.610037088394165,0.9136331677436829,0.5335525870323181,0.497698575258255,0.9999436140060425
0,resized_images/first_dataset/1000.jpg,0.9999771,2.284762e-05,0.8861455321311951,0.010385005734860897,0.9976504445075989,0.1367608606815338,0.9113904237747192
0,resized_images/first_dataset/1001.jpg,0.99999976,2.3369584e-07,0.9989448189735413,0.03689030557870865,1.0,0.007225279696285725,0.39685577154159546
0,resized_images/first_dataset/1002.jpg,0.99992776,7.2259856e-05,0.9921021461486816,0.9891448616981506,0.9997066259384155,0.002576607745140791,0.2068127989768982
0,resized_images/first_dataset/1003.jpg,0.9982293,0.001770657,0.9980277419090271,0.9963849782943726,0.9999584555625916,0.6600415706634521,0.6228033900260925
0,resized_images/first_dataset/1004.jpg,3.8498525e-05,0.9999615,0.9976416826248169,0.995765209197998,0.812827467918396,0.4820899963378906,0.7046381235122681
0,resized_images/first_dataset/1005.jpg,1.0,3.4794212e-08,0.9914661645889282,0.0010980999795719981,0.6703341603279114,0.4802153706550598,0.9973568320274353
0,resized_images/first_dataset/1006.jpg,0.10619017,0.8938098,0.997629702091217,0.9949082732200623,0.9999532699584961,0.5563346743583679,0.3423326015472412
0,resized_images/first_dataset/1007.jpg,0.95245117,0.047548857,0.9979799389839172,0.021384065970778465,0.9987533092498779,0.07328137755393982,0.9850413799285889
0,resized_images/first_dataset/1008.jpg,1.0,5.2243358e-08,0.9950841665267944,0.9897274374961853,0.999998152256012,0.7107820510864258,0.16953565180301666
0,resized_images/first_dataset/1009.jpg,0.9999964,3.5489884e-06,0.8214848637580872,0.10585653781890869,0.9543020129203796,0.026601366698741913,0.23536992073059082
0,resized_images/first_dataset/101.jpg,0.99999857,1.4538462e-06,0.9932631254196167,0.017184969037771225,0.6900572180747986,0.48060378432273865,0.8319557905197144
