,image_path,prob_male,prob_female
0,resized_images/first_dataset/0.jpg,2.716607e-08,1.0
0,resized_images/first_dataset/1.jpg,6.1621006e-09,1.0
0,resized_images/first_dataset/10.jpg,0.9806019,0.01939809
0,resized_images/first_dataset/100.jpg,0.9999988,1.1373606e-06
0,resized_images/first_dataset/1000.jpg,0.9999771,2.284762e-05
0,resized_images/first_dataset/1001.jpg,0.99999976,2.3369584e-07
0,resized_images/first_dataset/1002.jpg,0.99992776,7.2259856e-05
0,resized_images/first_dataset/1003.jpg,0.9982293,0.001770657
0,resized_images/first_dataset/1004.jpg,3.8498525e-05,0.9999615
0,resized_images/first_dataset/1005.jpg,1.0,3.4794212e-08
0,resized_images/first_dataset/1006.jpg,0.10619017,0.8938098
0,resized_images/first_dataset/1007.jpg,0.95245117,0.047548857
0,resized_images/first_dataset/1008.jpg,1.0,5.2243358e-08
0,resized_images/first_dataset/1009.jpg,0.9999964,3.5489884e-06
0,resized_images/first_dataset/101.jpg,0.99999857,1.4538462e-06
0,resized_images/first_dataset/1010.jpg,1.0,4.5385443e-10
0,resized_images/first_dataset/1011.jpg,1.0,4.8677146e-11
0,resized_images/first_dataset/1012.jpg,0.9980959,0.0019040257
0,resized_images/first_dataset/1013.jpg,0.99454284,0.0054570874
0,resized_images/first_dataset/1014.jpg,0.9985411,0.0014588672
0,resized_images/first_dataset/1015.jpg,9.522797e-06,0.99999046
0,resized_images/first_dataset/1016.jpg,0.00015120534,0.9998487
0,resized_images/first_dataset/1017.jpg,0.99775237,0.0022475766
0,resized_images/first_dataset/1018.jpg,8.7877154e-08,0.9999999
0,resized_images/first_dataset/1019.jpg,1.2674402e-08,1.0
0,resized_images/first_dataset/102.jpg,1.0882771e-09,1.0
0,resized_images/first_dataset/1020.jpg,1.3742852e-08,1.0
0,resized_images/first_dataset/1021.jpg,0.9999963,3.7089117e-06
0,resized_images/first_dataset/1022.jpg,0.0018676851,0.9981323
0,resized_images/first_dataset/1023.jpg,0.9999999,7.8791054e-08
0,resized_images/first_dataset/1024.jpg,0.9999597,4.029132e-05
0,resized_images/first_dataset/1025.jpg,0.9998109,0.00018917245
0,resized_images/first_dataset/1026.jpg,1.2481068e-12,1.0
0,resized_images/first_dataset/1027.jpg,1.0,8.050549e-09
0,resized_images/first_dataset/1028.jpg,1.0,1.28790045e-08
0,resized_images/first_dataset/1029.jpg,0.6684237,0.33157632
0,resized_images/first_dataset/103.jpg,9.3963536e-08,0.9999999
0,resized_images/first_dataset/1030.jpg,0.003143308,0.9968567
0,resized_images/first_dataset/1031.jpg,6.8264356e-08,0.9999999
0,resized_images/first_dataset/1032.jpg,0.00017623944,0.99982375
0,resized_images/first_dataset/1033.jpg,2.359235e-07,0.99999976
0,resized_images/first_dataset/1034.jpg,1.353353e-12,1.0
0,resized_images/first_dataset/1035.jpg,1.0,1.5209419e-09
0,resized_images/first_dataset/1036.jpg,0.99999976,2.1400882e-07
0,resized_images/first_dataset/1037.jpg,0.99790466,0.0020953743
0,resized_images/first_dataset/1038.jpg,1.0,3.624394e-08
0,resized_images/first_dataset/1039.jpg,0.42811447,0.5718855
0,resized_images/first_dataset/104.jpg,5.029507e-07,0.9999995
0,resized_images/first_dataset/1040.jpg,1.0,1.2723128e-09
0,resized_images/first_dataset/1041.jpg,0.000852424,0.99914753
0,resized_images/first_dataset/1042.jpg,0.9999269,7.3054274e-05
0,resized_images/first_dataset/1043.jpg,0.68329,0.31670994
0,resized_images/first_dataset/1044.jpg,6.0085074e-07,0.9999994
0,resized_images/first_dataset/1045.jpg,0.9999057,9.4338575e-05
0,resized_images/first_dataset/1046.jpg,1.7874707e-10,1.0
0,resized_images/first_dataset/1047.jpg,4.3408128e-11,1.0
0,resized_images/first_dataset/1048.jpg,0.00048014248,0.9995198
0,resized_images/first_dataset/1049.jpg,2.6433432e-05,0.99997354
0,resized_images/first_dataset/105.jpg,2.8801775e-11,1.0
0,resized_images/first_dataset/1050.jpg,0.9998368,0.00016316913
0,resized_images/first_dataset/1051.jpg,1.449694e-06,0.99999857
0,resized_images/first_dataset/1052.jpg,8.742973e-09,1.0
0,resized_images/first_dataset/1053.jpg,1.0,1.5659008e-08
0,resized_images/first_dataset/1054.jpg,9.2619e-06,0.9999907
0,resized_images/first_dataset/1055.jpg,0.99999964,3.8051198e-07
0,resized_images/first_dataset/1056.jpg,1.8081327e-07,0.99999976
0,resized_images/first_dataset/1057.jpg,0.9999933,6.6228176e-06
0,resized_images/first_dataset/1058.jpg,2.6067572e-05,0.9999739
0,resized_images/first_dataset/1059.jpg,0.001434833,0.99856514
0,resized_images/first_dataset/106.jpg,1.0518456e-08,1.0
0,resized_images/first_dataset/1060.jpg,2.8592172e-05,0.9999714
0,resized_images/first_dataset/1061.jpg,2.4587007e-05,0.99997544
0,resized_images/first_dataset/1062.jpg,1.5864972e-08,1.0
0,resized_images/first_dataset/1063.jpg,0.0012357716,0.9987643
0,resized_images/first_dataset/1064.jpg,1.916508e-08,1.0
0,resized_images/first_dataset/1065.jpg,0.99947923,0.0005208173
0,resized_images/first_dataset/1066.jpg,0.00010610319,0.9998939
0,resized_images/first_dataset/1067.jpg,1.0,1.2524626e-10
0,resized_images/first_dataset/1068.jpg,1.0,2.4847765e-08
0,resized_images/first_dataset/1069.jpg,0.9941757,0.0058243535
0,resized_images/first_dataset/107.jpg,0.9998903,0.00010962476
0,resized_images/first_dataset/1070.jpg,5.4196603e-06,0.99999464
0,resized_images/first_dataset/1071.jpg,1.4417274e-07,0.9999999
0,resized_images/first_dataset/1072.jpg,7.8248606e-12,1.0
0,resized_images/first_dataset/1073.jpg,0.99999785,2.0883003e-06
0,resized_images/first_dataset/1074.jpg,3.2603975e-10,1.0
0,resized_images/first_dataset/1075.jpg,0.9999738,2.6259419e-05
0,resized_images/first_dataset/1076.jpg,3.218546e-08,1.0
0,resized_images/first_dataset/1077.jpg,0.99987066,0.00012928629
0,resized_images/first_dataset/1078.jpg,0.98878646,0.011213525
0,resized_images/first_dataset/1079.jpg,0.04935068,0.9506494
0,resized_images/first_dataset/108.jpg,0.00024221669,0.9997578
0,resized_images/first_dataset/1080.jpg,3.0535187e-08,1.0
0,resized_images/first_dataset/1081.jpg,1.4636804e-06,0.99999857
0,resized_images/first_dataset/1082.jpg,0.99999166,8.32395e-06
0,resized_images/first_dataset/1083.jpg,5.6539706e-05,0.9999435
0,resized_images/first_dataset/1084.jpg,1.6931012e-11,1.0
0,resized_images/first_dataset/1085.jpg,0.00058154715,0.9994185
0,resized_images/first_dataset/1086.jpg,5.117221e-09,1.0
0,resized_images/first_dataset/1087.jpg,0.99999714,2.8126365e-06
0,resized_images/first_dataset/1088.jpg,1.0,2.1348164e-08
0,resized_images/first_dataset/1089.jpg,2.3789684e-11,1.0
0,resized_images/first_dataset/109.jpg,0.9999999,8.651458e-08
0,resized_images/first_dataset/1090.jpg,1.0,1.3329063e-10
0,resized_images/first_dataset/1091.jpg,1.0174459e-06,0.9999989
