,backbone,case,accuracy,inference_time
0,resnet18,1,0.916695001700102,0.004657535449318264
1,resnet34,1,0.9571574294457668,0.00802423383878625
2,resnet50,1,0.8884733083985039,0.010852862959322722
3,resnet18,2,0.9347160829649779,0.0024100853049236794
4,resnet34,2,0.9187351241074464,0.004203775654668393
5,resnet50,2,0.6589595375722543,0.005392186019731605
6,resnet18,3,0.9364161849710982,0.002609934495842975
7,resnet34,3,0.6259775586535192,0.004806202390919561
8,resnet50,3,0.6286977218633119,0.005661150683527408
9,resnet18,4_1,0.606596395783747,0.0049105157022890835
10,resnet34,4_1,0.8996939816388984,0.011511240316473919
11,resnet50,4_1,0.62937776266576,0.011223761931709621
12,resnet18,4_2,0.8459707582454947,0.004616633705470873
13,resnet34,4_2,0.9221353281196872,0.008111899313719376
14,resnet50,4_2,0.648078884733084,0.0107879638671875
