,backbone,case,accuracy,inference_time
0,resnet18,1,0.32573954437266234,0.004711923391922661
1,resnet34,1,0.32573954437266234,0.008075138796930727
2,resnet50,1,0.34308058483509013,0.010580752206885296
3,resnet18,2,0.5872152329139748,0.002426834210105564
4,resnet34,2,0.33117987079224753,0.005132765873618748
5,resnet50,2,0.31961917715062904,0.005544162314871083
6,resnet18,3,0.32573954437266234,0.0024039641670558763
7,resnet34,3,0.32573954437266234,0.004184725491896919
8,resnet50,3,0.32573954437266234,0.005547082942465077
9,resnet18,4_1,0.32573954437266234,0.006040951480036197
10,resnet34,4_1,0.32573954437266234,0.008238429608552353
11,resnet50,4_1,0.32573954437266234,0.011865146782087244
12,resnet18,4_2,0.3662019721183271,0.0061636048814524775
13,resnet34,4_2,0.32573954437266234,0.008132027543109396
14,resnet50,4_2,0.32573954437266234,0.0110373186028522
