,backbone,case,accuracy,inference_time
0,resnet18,1,0.9663379802788167,0.004830920177957286
1,resnet34,1,0.9792587555253315,0.008217959300331448
2,resnet50,1,0.9710982658959537,0.014932409576747728
3,resnet18,2,0.9806188371302278,0.002410709857940674
4,resnet34,2,0.9734784087045223,0.004119862680849822
5,resnet50,2,0.9605576334580075,0.006860790045365044
6,resnet18,3,0.972118327099626,0.002429285775060239
7,resnet34,3,0.9510370622237334,0.004217904546986456
8,resnet50,3,0.9632777966678001,0.006513533384903618
9,resnet18,4_1,0.9649778986739205,0.006253721921340279
10,resnet34,4_1,0.9772186331179871,0.00835586112478505
11,resnet50,4_1,0.9714382862971779,0.011431590370509935
12,resnet18,4_2,0.9466167970078204,0.004675339097562043
13,resnet34,4_2,0.9697381842910575,0.008206481518952743
14,resnet50,4_2,0.962937776266576,0.010919257350589918
