,backbone,case,accuracy,inference_time
0,resnet18,1,0.9615776946616797,0.00651106886241747
1,resnet34,1,0.9680380822849372,0.00794031568195509
2,resnet50,1,0.9670180210812649,0.01275610405465831
3,resnet18,2,0.9748384903094186,0.0032225225282751994
4,resnet34,2,0.9687181230873853,0.0041866639386052675
5,resnet50,2,0.9670180210812649,0.005437298961307692
6,resnet18,3,0.9884393063583815,0.0028039916701938796
7,resnet34,3,0.9612376742604556,0.0041493021923562756
8,resnet50,3,0.9792587555253315,0.005594362383303435
9,resnet18,4_1,0.9544372662359741,0.004787160002666971
10,resnet34,4_1,0.9853791227473648,0.0080918462380119
11,resnet50,4_1,0.634478068684121,0.010756692160730776
12,resnet18,4_2,0.9680380822849372,0.004650429539058519
13,resnet34,4_2,0.9313158789527372,0.008440603380617888
14,resnet50,4_2,0.8952737164229854,0.012472678785738737
