,backbone,case,accuracy,inference_time
0,resnet18,1,0.6426385583134988,0.00663673618565435
1,resnet34,1,0.6276776606596396,0.007925989835158638
2,resnet50,1,0.48486909214552876,0.010661519092062244
3,resnet18,2,0.6045562733764026,0.002459958843562914
4,resnet34,2,0.6222373342400545,0.005257948585178541
5,resnet50,2,0.34308058483509013,0.005540873693383258
6,resnet18,3,0.6259775586535192,0.0024999691092449684
7,resnet34,3,0.32573954437266234,0.0053964931031932
8,resnet50,3,0.32573954437266234,0.005762284216673478
9,resnet18,4_1,0.32573954437266234,0.004579733247342317
10,resnet34,4_1,0.32573954437266234,0.00826574408489725
11,resnet50,4_1,0.32573954437266234,0.012575976226640783
12,resnet18,4_2,0.61101666099966,0.00471074684806492
13,resnet34,4_2,0.6395783747024821,0.008320823959682299
14,resnet50,4_2,0.32573954437266234,0.011455673238505487
