,backbone,case,accuracy,inference_time
0,resnet18,1,0.34308058483509013,0.0047751561455104665
1,resnet34,1,0.5763345800748045,0.00828340779180112
2,resnet50,1,0.32573954437266234,0.014294994914013407
3,resnet18,2,0.33117987079224753,0.002384869948677395
4,resnet34,2,0.34308058483509013,0.006673890611399775
5,resnet50,2,0.5351921115266915,0.007451930771703305
6,resnet18,3,0.32573954437266234,0.0023772275966146717
7,resnet34,3,0.44610676640598435,0.004236242045526919
8,resnet50,3,0.32573954437266234,0.005486340626426365
9,resnet18,4_1,0.32573954437266234,0.00681459903717041
10,resnet34,4_1,0.32573954437266234,0.008016581120698349
11,resnet50,4_1,0.32573954437266234,0.01058823647706405
12,resnet18,4_2,0.32607956477388644,0.004607029583143151
13,resnet34,4_2,0.32573954437266234,0.00812747167504352
14,resnet50,4_2,0.32573954437266234,0.014773265175197435
