,backbone,case,accuracy,inference_time
0,resnet18,1,0.6780006800408025,0.004694863505985426
1,resnet34,1,0.6555593335600136,0.0081246598907139
2,resnet50,1,0.657259435566134,0.010916904262874437
3,resnet18,2,0.6232573954437266,0.0024549831514773164
4,resnet34,2,0.7528051683100986,0.004228107307268226
5,resnet50,2,0.6331179870792247,0.00663825221683668
6,resnet18,3,0.6354981298877933,0.00244478816571443
7,resnet34,3,0.6310778646718803,0.004343924315079399
8,resnet50,3,0.6320979258755526,0.006232310896334441
9,resnet18,4_1,0.5872152329139748,0.004735052585601807
10,resnet34,4_1,0.9160149608976539,0.008213030255359152
11,resnet50,4_1,0.32573954437266234,0.013227524964705757
12,resnet18,4_2,0.6014960897653859,0.004794874916905942
13,resnet34,4_2,0.6405984359061544,0.01005010760348776
14,resnet50,4_2,0.6327779666780007,0.012259019457775614
