,backbone,case,accuracy,inference_time
0,resnet18,1,0.9605576334580075,0.004625323026076607
1,resnet34,1,0.9833390003400204,0.008265466793723728
2,resnet50,1,0.9102346140768446,0.010844930358555006
3,resnet18,2,0.9421965317919075,0.0024145090061685314
4,resnet34,2,0.9435566133968039,0.004046510095181672
5,resnet50,2,0.9034342060523631,0.007867898630059284
6,resnet18,3,0.9615776946616797,0.002401154974232549
7,resnet34,3,0.9421965317919075,0.004116835801497749
8,resnet50,3,0.6375382522951377,0.005593367244886315
9,resnet18,4_1,0.9336960217613057,0.0046627599260081415
10,resnet34,4_1,0.9748384903094186,0.008104565350905708
11,resnet50,4_1,0.9666780006800408,0.010798723801322605
12,resnet18,4_2,0.8816729003740225,0.004667367624199908
13,resnet34,4_2,0.9302958177490649,0.008043328057164732
14,resnet50,4_2,0.6320979258755526,0.010804373285044794
