,backbone,case,accuracy,inference_time
0,resnet18,1,0.9102346140768446,0.005868753661280093
1,resnet34,1,0.925535532131928,0.012297454087630562
2,resnet50,1,0.6565793947636859,0.014680382998093315
3,resnet18,2,0.8854131247874872,0.003509925759356955
4,resnet34,2,0.8833730023801428,0.004195736802142599
5,resnet50,2,0.8490309418565114,0.0055892001027646274
6,resnet18,3,0.9217953077184631,0.0024643281231755795
7,resnet34,3,0.3369602176130568,0.004253421140753705
8,resnet50,3,0.5348520911254675,0.006964618745057479
9,resnet18,4_1,0.9374362461747705,0.004806166109831437
10,resnet34,4_1,0.6351581094865691,0.00846196516700413
11,resnet50,4_1,0.35702142128527714,0.010920177335324495
12,resnet18,4_2,0.925875552533152,0.0047748114751732865
13,resnet34,4_2,0.583134988099286,0.008302649726038393
14,resnet50,4_2,0.32573954437266234,0.010727685430775518
