,backbone,case,accuracy,inference_time
0,resnet18,1,0.34308058483509013,0.004690237667249597
1,resnet34,1,0.32573954437266234,0.008206642192343006
2,resnet50,1,0.32573954437266234,0.010653337706690249
3,resnet18,2,0.560013600816049,0.002367351366126019
4,resnet34,2,0.34308058483509013,0.0040922139001929245
5,resnet50,2,0.33117987079224753,0.005452594031458316
6,resnet18,3,0.32573954437266234,0.002335351446400518
7,resnet34,3,0.32573954437266234,0.004139231598895529
8,resnet50,3,0.32573954437266234,0.00546367012936136
9,resnet18,4_1,0.3893233594015641,0.004672361456829569
10,resnet34,4_1,0.32573954437266234,0.010606916054435398
11,resnet50,4_1,0.32573954437266234,0.010958964410035507
12,resnet18,4_2,0.4267256035362122,0.006673006907753323
13,resnet34,4_2,0.32573954437266234,0.008051659749901813
14,resnet50,4_2,0.32573954437266234,0.010645897492118504
