,backbone,case,accuracy,inference_time
0,resnet18,1,0.9047942876572594,0.004834799662880276
1,resnet34,1,0.9207752465147909,0.00810201530871184
2,resnet50,1,0.9326759605576335,0.01133169298586638
3,resnet18,2,0.9595375722543352,0.0024246495702992315
4,resnet34,2,0.9588575314518871,0.00432902833689814
5,resnet50,2,0.9010540632437947,0.0055246275404225225
6,resnet18,3,0.9649778986739205,0.0025224556093630585
7,resnet34,3,0.9785787147228834,0.004188900408537492
8,resnet50,3,0.9425365521931316,0.00711580463077711
9,resnet18,4_1,0.9704182250935056,0.004716028337893279
10,resnet34,4_1,0.9578374702482149,0.008076354213382887
11,resnet50,4_1,0.8619517171030262,0.010745701582535454
12,resnet18,4_2,0.9381162869772186,0.0047705873199131174
13,resnet34,4_2,0.884393063583815,0.008095795693604843
14,resnet50,4_2,0.912274736484189,0.012655284093773884
