,backbone,case,accuracy,inference_time
0,resnet18,1,0.4916695001700102,0.004691307959349259
1,resnet34,1,0.6545392723563414,0.008001965025196905
2,resnet50,1,0.32573954437266234,0.014326626839845077
3,resnet18,2,0.6912614756885413,0.0023670248363329015
4,resnet34,2,0.4610676640598436,0.004078030586242676
5,resnet50,2,0.5576334580074804,0.00541261745535809
6,resnet18,3,0.46786807208432507,0.002867659796839175
7,resnet34,3,0.32573954437266234,0.004125032735907514
8,resnet50,3,0.32573954437266234,0.005500663881716521
9,resnet18,4_1,0.3903434206052363,0.004651720109193221
10,resnet34,4_1,0.32573954437266234,0.010639338389686916
11,resnet50,4_1,0.32573954437266234,0.010962079400601595
12,resnet18,4_2,0.32573954437266234,0.005189138910044794
13,resnet34,4_2,0.32573954437266234,0.008261400720347528
14,resnet50,4_2,0.32573954437266234,0.010729955590289572
