,backbone,case,accuracy,inference_time
0,resnet18,1,0.9707582454947297,0.004851789578147556
1,resnet34,1,0.9823189391363482,0.00826241399930871
2,resnet50,1,0.9670180210812649,0.011319422203561535
3,resnet18,2,0.9673580414824889,0.0025419929753179135
4,resnet34,2,0.9748384903094186,0.004128064798272174
5,resnet50,2,0.9738184291057463,0.005543403003526771
6,resnet18,3,0.9751785107106427,0.002525715724281643
7,resnet34,3,0.9710982658959537,0.00435188801392265
8,resnet50,3,0.9758585515130908,0.005702503349470056
9,resnet18,4_1,0.9680380822849372,0.004845448162244714
10,resnet34,4_1,0.9659979598775926,0.008442824301512344
11,resnet50,4_1,0.9659979598775926,0.011403793873994247
12,resnet18,4_2,0.967698061883713,0.004625838735829229
13,resnet34,4_2,0.9704182250935056,0.008220825506293255
14,resnet50,4_2,0.9649778986739205,0.010724153207696003
