,backbone,case,accuracy,inference_time
0,resnet18,1,0.634138048282897,0.0046028313429459285
1,resnet34,1,0.33117987079224753,0.008401256540547247
2,resnet50,1,0.4093845630737844,0.01124198281246683
3,resnet18,2,0.5348520911254675,0.0031427248664524245
4,resnet34,2,0.6419585175110507,0.0041688291922859525
5,resnet50,2,0.34308058483509013,0.007072337295698083
6,resnet18,3,0.3587215232913975,0.002428529055222221
7,resnet34,3,0.48350901054063244,0.004169096117434295
8,resnet50,3,0.32573954437266234,0.005506611388662587
9,resnet18,4_1,0.32573954437266234,0.004746520000955333
10,resnet34,4_1,0.5919755185311119,0.008448548938917078
11,resnet50,4_1,0.32573954437266234,0.014026048390761665
12,resnet18,4_2,0.38490309418565116,0.00465597795403522
13,resnet34,4_2,0.35294117647058826,0.008182572281878927
14,resnet50,4_2,0.33219993199591974,0.010717806608780571
